,Year,Rating,Runtime(Mins),Total_Gross,Title
1380,2009,5.7,98,67.17,Race to Witch Mountain
1381,2009,5.7,118,152.27,G.I. Joe: The Rise of Cobra
1382,2009,5.7,95,20.49,Gamer
1383,2019,5.7,117,48.55,Gemini Man
1384,2021,5.7,148,1.0,Army of the Dead
1385,2009,5.7,88,15.99,Armored
1386,2011,5.7,87,29.14,Priest
1387,2008,5.7,110,32.85,Drillbit Taylor
1388,2008,5.7,112,70.23,Fool's Gold
1390,2006,5.7,98,60.67,Poseidon
1391,2003,5.7,97,82.62,Freddy vs. Jason
1392,2000,5.7,106,18.0,Red Planet
1393,2000,5.7,117,30.21,The Art of War
1394,2001,5.7,100,131.14,Lara Croft: Tomb Raider
1395,1999,5.7,82,31.77,Lake Placid
1396,2001,5.7,119,180.01,Planet of the Apes
1397,1998,5.7,114,50.63,Mighty Joe Young
1398,2005,5.7,106,154.7,Fantastic Four
1399,1996,5.7,101,25.48,Escape from L.A.
1400,1995,5.7,110,35.32,Money Train
1401,1995,5.7,124,10.02,Cutthroat Island
1402,1991,5.7,100,17.22,Hudson Hawk
1403,1988,5.7,108,109.31,Crocodile Dundee II
1407,2018,5.6,113,143.01,The Meg
1410,2018,5.6,111,59.87,Pacific Rim: Uprising
1411,2019,5.6,114,80.0,Men in Black: International
1412,2015,5.6,92,0.0,Wild Card
1413,2015,5.6,105,78.75,Pixels
1414,2014,5.6,165,245.44,Transformers: Age of Extinction
1415,2016,5.6,115,54.65,Assassin's Creed
1416,2017,5.6,95,20.78,Sleepless
1417,2013,5.6,107,8.01,Machete Kills
1419,2017,5.6,95,50.7,The Dark Tower
1420,2010,5.6,90,8.46,MacGruber
1421,2014,5.6,90,20.29,Brick Mansions
1422,2009,5.6,108,12.23,12 Rounds
1426,2008,5.6,113,100.02,You Don't Mess with the Zohan
1427,2009,5.6,92,35.92,The Pink Panther 2
1428,2013,5.6,96,33.62,R.I.P.D.
1429,2007,5.6,92,131.92,4: Rise of the Silver Surfer
1431,2005,5.6,95,113.09,The Pacifier
1432,2004,5.6,101,80.28,AVP: Alien vs. Predator
1433,2004,5.6,175,34.3,Alexander
1434,2003,5.6,116,19.48,Timeline
1435,2003,5.6,138,132.18,Hulk
1436,2002,5.6,116,30.16,Bad Company
1437,2003,5.6,88,35.76,National Security
1438,2001,5.6,101,51.76,Exit Wounds
1439,2001,5.6,88,112.72,Spy Kids
1440,2000,5.6,106,35.05,The Skulls
1441,2000,5.6,98,125.31,Charlie's Angels
1442,1996,5.6,107,20.55,Chain Reaction
1443,1995,5.6,103,19.08,Johnny Mnemonic
1444,1994,5.6,110,57.36,The Specialist
1445,1992,5.6,86,16.62,Buffy the Vampire Slayer
1446,1991,5.6,110,30.1,Double Impact
1447,2020,5.5,116,1.23,Busanhaeng 2: Bando
1450,2015,5.5,107,7.61,Mortdecai
1451,2016,5.5,107,26.83,Resident Evil: The Final Chapter
1453,2012,5.5,132,2.35,Ek Tha Tiger
1454,2014,5.5,105,23.22,Pompeii
1455,2012,5.5,96,0.3,Stolen
1456,2017,5.5,116,58.06,Baywatch
1457,2010,5.5,107,44.88,Cop Out
1458,2011,5.5,114,116.6,Green Lantern
1459,2014,5.5,102,17.22,Seventh Son
1460,2009,5.5,105,23.04,Fighting
1462,2010,5.5,110,67.06,The Bounty Hunter
1465,2006,5.5,105,34.02,Snakes on a Plane
1466,2005,5.5,83,8.33,The Man
1467,2009,5.5,101,10.28,Whiteout
1468,2008,5.5,90,22.53,Babylon A.D.
1469,2003,5.5,117,65.66,Lara Croft Tomb Raider: The Cradle of Life
1470,2003,5.5,135,31.19,The Core
1471,2002,5.5,95,38.08,Showtime
1472,2002,5.5,92,91.05,The Scorpion King
1473,2002,5.5,99,17.32,Eight Legged Freaks
1474,2002,5.5,108,40.08,Collateral Damage
1475,1997,5.5,104,49.32,Volcano
1476,1997,5.5,117,31.99,Metro
1477,1997,5.5,92,105.26,George of the Jungle
1478,1997,5.5,88,31.24,Beverly Hills Ninja
1479,1996,5.5,95,21.6,The Quest
1480,1995,5.5,106,24.05,Virtuosity
1481,1995,5.5,100,50.02,Under Siege 2: Dark Territory
1482,1995,5.5,96,34.69,Judge Dredd
1483,1994,5.5,104,42.61,Beverly Hills Cop III
1484,1989,5.5,107,52.21,Star Trek V: The Final Frontier
1485,1986,5.5,106,16.21,Raw Deal
1487,2020,5.4,96,0.5,Ava
1489,2020,5.4,151,46.37,Wonder Woman 1984
1492,2015,5.4,133,7.1,Blackhat
1493,2016,5.4,127,31.15,Gods of Egypt
1494,2017,5.4,110,80.1,The Mummy
1495,2014,5.4,90,0.02,Big Game
1496,2014,5.4,104,7.79,Vampire Academy
1497,2011,5.4,104,10.71,Drive Angry
1498,2013,5.4,91,0.03,Killing Season
1499,2018,5.4,91,20.71,The Happytime Murders
1500,2010,5.4,94,24.27,The Spy Next Door
1501,2012,5.4,95,15.63,The Man with the Iron Fists
1502,2010,5.4,100,47.06,Killers
1504,2021,5.4,103,44.54,The Forever Purge
1505,2011,5.4,95,24.83,Season of the Witch
1506,2007,5.4,101,5.93,The Last Legion
1507,2007,5.4,99,10.23,Pathfinder
1508,2005,5.4,93,25.86,Æon Flux
1509,2002,5.4,97,33.56,I Spy
1510,2002,5.4,98,50.55,The Tuxedo
1511,2003,5.4,104,23.02,Bulletproof Monk
1512,1998,5.4,139,136.31,Godzilla
1513,1996,5.4,104,22.94,D3: The Mighty Ducks
1514,1995,5.4,121,184.03,Batman Forever
1515,1986,5.4,98,7.43,Maximum Overdrive
1516,1973,5.4,93,8.84,Battle for the Planet of the Apes
1518,2018,5.3,116,30.82,Robin Hood
1519,2018,5.3,107,51.02,The Predator
1520,2014,5.3,146,2.46,Kick
1521,2015,5.3,114,28.78,Point Break
1522,2017,5.3,109,33.7,Geostorm
1523,2012,5.3,95,42.35,Resident Evil: Retribution
1524,2013,5.3,172,8.03,Dhoom:3
1525,2015,5.3,127,47.39,Jupiter Ascending
1526,2012,5.3,91,26.41,One for the Money
1527,2012,5.3,93,44.81,Red Dawn
1529,2008,5.3,99,15.28,Bangkok Dangerous
1530,2008,5.3,100,40.69,Max Payne
1531,2009,5.3,102,49.44,Land of the Lost
1532,2003,5.3,116,30.01,Hollywood Homicide
1533,2003,5.3,103,102.54,Daredevil
1534,1996,5.3,81,29.0,Spy Hard
1535,1995,5.3,104,4.06,Tank Girl
1536,1989,5.3,112,38.96,The Karate Kid Part III
1537,1987,5.3,106,17.34,Masters of the Universe
1539,2020,5.2,103,15.16,Monster Hunter
1540,2018,5.2,97,69.49,The First Purge
1541,2021,5.2,143,173.2,F9
1543,2016,5.2,118,0.18,The Bad Batch
1544,2017,5.2,154,130.17,Transformers: The Last Knight
1545,2015,5.2,96,16.03,The Transporter Refueled
1546,2016,5.2,112,34.92,The 5th Wave
1547,2019,5.2,120,21.9,Hellboy
1548,2016,5.2,120,103.14,Independence Day: Resurgence
1549,2013,5.2,98,67.35,A Good Day to Die Hard
1550,1993,9.0,195,96.9,Schindler's List
1552,1990,8.7,145,46.84,Goodfellas
1553,2011,8.5,112,13.18,The Intouchables
1554,2002,8.5,150,32.57,The Pianist
1557,1995,8.4,178,75.6,Braveheart
1558,1984,8.4,160,51.97,Amadeus
1560,1962,8.3,218,44.82,Lawrence of Arabia
1561,2018,8.2,130,85.08,Green Book
1562,2013,8.2,186,1.63,Bhaag Milkha Bhaag
1563,2013,8.2,180,116.9,The Wolf of Wall Street
1564,2004,8.2,156,5.51,Der Untergang
1565,2001,8.2,135,170.74,A Beautiful Mind
1566,1980,8.2,129,23.38,Raging Bull
1569,1928,8.2,110,0.02,La passion de Jeanne d'Arc
1570,2016,8.1,139,67.21,Hacksaw Ridge
1571,2013,8.1,134,56.67,12 Years a Slave
1572,2013,8.1,123,26.95,Rush
1573,2015,8.1,129,45.06,Spotlight
1575,2007,8.1,148,18.35,Into the Wild
1576,2004,8.1,121,23.53,Hotel Rwanda
1577,2002,8.1,141,164.62,Catch Me If You Can
1578,1993,8.1,133,25.01,In the Name of the Father
1579,1982,8.1,191,52.77,Gandhi
1581,1966,8.1,205,0.1,Andrei Rublev
1582,1965,8.1,172,163.21,The Sound of Music
1584,2016,8.0,118,51.74,Lion
1585,2014,8.0,114,91.13,The Imitation Game
1586,2010,8.0,118,138.8,The King's Speech
1587,2007,8.0,96,4.45,Persepolis
1588,2006,8.0,117,163.57,The Pursuit of Happyness
1589,2007,8.0,112,5.99,Le scaphandre et le papillon
1590,2004,8.0,126,2.09,Mar adentro
1591,2005,8.0,144,61.65,Cinderella Man
1592,1999,8.0,112,6.2,The Straight Story
1593,1975,8.0,125,50.0,Dog Day Afternoon
1594,1975,8.0,107,0.18,Zerkalo
1595,1973,8.0,151,53.27,Papillon
1596,1969,8.0,110,102.31,Butch Cassidy and the Sundance Kid
1597,2019,7.9,154,2.27,Super 30
1598,2018,7.9,140,1.66,Padman
1600,2016,7.9,184,1.78,M.S. Dhoni: The Untold Story
1601,2018,7.9,134,216.43,Bohemian Rhapsody
1602,2013,7.9,117,27.3,Dallas Buyers Club
1603,1989,7.9,103,14.74,My Left Foot: The Story of Christy Brown
1604,1970,7.9,172,61.7,Patton
1605,1968,7.9,134,22.28,The Lion in Winter
1607,1960,7.9,197,30.0,Spartacus
1608,2016,7.8,127,169.61,Hidden Figures
1609,2017,7.8,94,6.74,Loving Vincent
1611,2015,7.8,130,70.26,The Big Short
1612,2015,7.8,147,161.2,Straight Outta Compton
1613,2019,7.8,209,7.0,The Irishman
1614,2010,7.8,120,96.96,The Social Network
1615,2008,7.8,141,35.74,Changeling
1616,2007,7.8,157,130.16,American Gangster
1617,2005,7.8,127,5.13,The World's Fastest Indian
1618,2005,7.8,136,119.52,Walk the Line
1619,2004,7.8,126,16.76,Diarios de motocicleta
1620,2000,7.8,113,115.65,Remember the Titans
1621,1999,7.8,157,28.97,The Insider
1622,1999,7.8,108,32.48,October Sky
1623,1994,7.8,127,5.89,Ed Wood
1624,1993,7.8,130,56.51,Tombstone
1625,1990,7.8,121,52.1,Awakenings
1626,1989,7.8,122,26.83,Glory
1627,1984,7.8,141,34.7,The Killing Fields
1628,1983,7.8,193,21.5,The Right Stuff
1629,2014,7.7,123,35.89,The Theory of Everything
1630,2013,7.7,126,5.21,Kaze tachinu
1631,2012,7.7,120,136.03,Argo
1632,2008,7.7,122,18.59,Frost/Nixon
1633,2004,7.7,152,75.33,Ray
1634,2004,7.7,106,51.68,Finding Neverland
1635,1997,7.7,127,41.91,Donnie Brasco
1636,1996,7.7,105,35.81,Shine
1637,1994,7.7,108,21.85,Il postino
1638,1992,7.7,202,48.17,Malcolm X
1639,1987,7.7,163,43.98,The Last Emperor
1640,1973,7.7,130,29.8,Serpico
1641,1966,7.7,120,28.35,A Man for All Seasons
1645,2018,7.6,155,7.91,Sanju
1647,2013,7.6,98,37.71,Philomena
1648,2010,7.6,94,18.34,127 Hours
1649,2011,7.6,133,75.61,Moneyball
1650,2009,7.6,129,255.96,The Blind Side
1651,2007,7.6,123,36.61,Freedom Writers
1652,2006,7.6,123,17.61,The Last King of Scotland
1653,2007,7.6,140,10.3,La Vie en Rose
1654,2005,7.6,120,0.68,Sophie Scholl - Die letzten Tage
1655,2007,7.6,122,0.87,Control
1656,1999,7.6,146,50.67,The Hurricane
1660,2018,7.5,135,49.28,BlacKkKlansman
1661,2017,7.5,119,30.01,"I, Tonya"
1662,2018,7.5,119,34.37,The Favourite
1664,2013,7.5,85,16.1,Fruitvale Station
1665,2013,7.5,125,83.3,Saving Mr. Banks
1666,2017,7.5,105,174.34,The Greatest Showman
1667,2012,7.5,137,1.55,En kongelig affære
1668,2009,7.5,98,0.45,The Damned United
1669,2014,7.5,128,52.08,Selma
1670,2008,7.5,128,31.84,Milk
1671,2008,7.5,96,0.15,Hunger
1672,2013,7.5,128,95.0,42
1673,2007,7.5,160,3.9,The Assassination of Jesse James by the Coward Robert Ford
1674,2007,7.5,126,30.23,The Great Debaters
1675,2004,7.5,170,102.61,The Aviator
1676,2001,7.5,124,52.99,Blow
1677,1999,7.5,118,11.53,Boys Don't Cry
1678,1994,7.5,133,24.82,Quiz Show
1679,1993,7.5,114,22.75,Rudy
1680,1992,7.5,143,9.49,Chaplin
1681,1989,7.5,137,10.16,Henry V
1683,1978,7.5,121,35.0,Midnight Express
1686,2017,7.4,125,56.47,Darkest Hour
1687,2017,7.4,140,28.78,Molly's Game
1689,2016,7.4,96,125.07,Sully
1690,2015,7.4,124,7.86,Trumbo
1691,2014,7.4,110,2.72,The Good Lie
1692,2015,7.4,129,44.47,"McFarland, USA"
1693,2014,7.4,121,12.55,Love & Mercy
1694,2005,7.4,93,31.5,"Good Night, and Good Luck."
1695,2005,7.4,120,15.33,The Greatest Game Ever Played
1696,2004,7.4,135,64.38,Miracle
1697,2003,7.4,101,6.0,American Splendor
1698,2002,7.4,94,6.17,Rabbit-Proof Fence
1699,2000,7.4,131,125.6,Erin Brockovich
1700,1998,7.4,124,30.08,Elizabeth
1701,1999,7.4,118,34.58,Man on the Moon
1702,1998,7.4,105,6.39,Gods and Monsters
1703,1993,7.4,109,7.27,Searching for Bobby Fischer
1704,1956,7.4,133,21.3,The King and I
1707,2019,7.3,112,0.4,Official Secrets
1708,2016,7.3,134,21.59,Snowden
1709,2016,7.3,103,0.04,A Street Cat Named Bob
1710,2017,7.3,104,21.12,The Disaster Artist
1711,2015,7.3,123,10.14,The Walk
1712,2015,7.3,109,33.31,Woman in Gold
1713,2013,7.3,100,10.73,Belle
1714,2019,7.3,121,96.37,Rocketman
1716,2018,7.3,120,7.65,Beautiful Boy
1717,2018,7.3,141,44.94,First Man
1718,2015,7.3,106,15.79,Eddie the Eagle
1719,2006,7.3,120,5.49,Rescue Dawn
1720,2012,7.3,150,182.21,Lincoln
1721,2006,7.3,103,56.44,The Queen
1722,2005,7.3,136,67.26,Coach Carter
1723,2005,7.3,114,28.75,Capote
1724,2003,7.3,109,34.47,Monster
1725,2002,7.3,117,1.13,24 Hour Party People
1726,2000,7.3,124,7.06,Quills
1727,1999,7.3,127,28.87,"Girl, Interrupted"
1728,2002,7.3,120,21.08,Antwone Fisher
1729,2002,7.3,123,25.89,Frida
1730,1997,7.3,155,44.18,Amistad
1731,1996,7.3,130,20.19,The People vs. Larry Flynt
1732,1995,7.3,102,2.42,The Basketball Diaries
1733,1994,7.3,99,3.05,Heavenly Creatures
1734,1993,7.3,115,4.1,This Boy's Life
1735,1987,7.3,121,123.92,"Good Morning, Vietnam"
1738,2017,7.2,116,81.9,The Post
1739,2018,7.2,132,47.84,Vice
1741,2017,7.2,133,2.34,Papillon
1742,2016,7.2,115,12.79,The Founder
1743,2015,7.2,106,2.99,The End of the Tour
1744,2018,7.2,98,5.47,Stan & Ollie
1745,2019,7.2,109,61.7,A Beautiful Day in the Neighborhood
1746,2015,7.2,122,17.77,Steve Jobs
1747,2012,7.2,95,6.0,The Sessions
1748,2014,7.2,129,1.82,Testament of Youth
1749,2013,7.2,132,116.63,The Butler
1750,2010,7.2,107,6.78,Conviction
1751,2012,7.2,116,37.4,Lawless
1752,2010,7.2,123,59.71,Secretariat
1753,2009,7.2,105,11.0,The Young Victoria
1754,2008,7.2,134,1.73,Che: Part One
1756,2015,7.2,108,3.87,The Man Who Knew Infinity
1757,2006,7.2,118,42.64,Glory Road
1758,2000,7.2,133,4.22,Before Night Falls
1759,2000,7.2,129,48.82,Men of Honor
1760,1991,7.2,140,35.18,The Doors
1761,1989,7.2,145,70.0,Born on the Fourth of July
1762,1985,7.2,120,48.23,Mask
1764,2019,7.1,108,22.96,Fighting with My Family
1765,2018,7.1,120,24.62,On the Basis of Sex
1766,2018,7.1,106,8.8,Can You Ever Forgive Me?
1767,2016,7.1,109,61.71,Miracles from Heaven
1769,2016,7.1,134,19.1,Race
1770,2015,7.1,123,34.54,Concussion
1771,2017,7.1,127,17.27,The Glass Castle
1772,2014,7.1,115,37.88,Wild
1773,2013,7.1,141,8.32,Mandela: Long Walk to Freedom
1774,2013,7.1,112,0.51,Tracks
1775,2013,7.1,116,4.44,The Railway Man
1776,2016,7.1,114,43.03,War Dogs
1777,2017,7.1,107,1.74,Goodbye Christopher Robin
1778,2012,7.1,116,6.0,Chasing Mavericks
1779,2011,7.1,109,1.36,The Devil's Double
1780,2009,7.1,98,1.45,Nowhere Boy
1781,2009,7.1,127,0.62,Agora
1782,2010,7.1,112,1.12,The Whistleblower
1783,2015,7.1,119,11.11,The Danish Girl
1784,2004,7.1,118,10.21,Kinsey
1785,2005,7.1,107,11.01,Lords of Dogtown
1786,2000,7.1,94,0.23,Chopper
1787,1997,7.1,136,37.96,Seven Years in Tibet
1788,1996,7.1,133,11.09,Michael Collins
1789,1995,7.1,192,13.56,Nixon
1790,1993,7.1,120,36.73,Alive
1791,1985,7.1,161,87.1,Out of Africa
1792,1981,7.1,125,58.97,Chariots of Fire
1793,2018,7.0,116,2.86,American Animals
1794,2017,7.0,108,1.59,Professor Marston and the Wonder Women
1795,2016,7.0,123,7.7,Loving
1797,2015,7.0,106,5.35,Danny Collins
1798,2017,7.0,127,17.45,The Zookeeper's Wife
1799,2014,7.0,124,36.45,Million Dollar Arm
1800,2011,7.0,112,43.85,Soul Surfer
1801,2014,7.0,115,2.44,Pawn Sacrifice
1802,2011,7.0,106,1.19,Kill the Irishman
1803,2016,7.0,127,15.43,The Infiltrator
1805,2009,7.0,123,94.13,Julie & Julia
1806,2014,7.0,106,14.48,Big Eyes
1807,2014,7.0,134,12.1,Foxcatcher
1810,2006,7.0,88,2.98,Miss Potter
1811,2007,7.0,102,66.66,Charlie Wilson's War
1812,2006,7.0,105,57.79,Invincible
1813,2006,7.0,125,38.43,Gridiron Gang
1814,2006,7.0,125,1.17,Find Me Guilty
1815,2005,7.0,125,62.66,Jarhead
1816,2007,7.0,120,18.67,Becoming Jane
1817,2007,7.0,110,33.23,Breach
1818,2006,7.0,117,11.24,Bobby
1819,2002,7.0,113,16.0,Confessions of a Dangerous Mind
1820,2000,7.0,122,8.6,Pollock
1821,1997,7.0,134,5.53,Kundun
1822,1986,7.0,83,0.61,Henry: Portrait of a Serial Killer
1823,1988,7.0,129,24.72,Gorillas in the Mist: The Story of Dian Fossey
1824,1986,7.0,112,2.83,Sid and Nancy
1825,1963,7.0,192,57.78,Cleopatra
1826,2018,6.9,115,6.79,Boy Erased
1827,2018,6.9,111,2.29,At Eternity's Gate
1828,2017,6.9,107,14.11,Borg McEnroe
1829,2017,6.9,119,4.21,Stronger
1830,2015,6.9,132,1.87,Legend
1832,2011,6.9,99,14.6,My Week with Marilyn
1833,2015,6.9,123,62.58,Black Mass
1834,2014,6.9,112,2.45,Kill the Messenger
1835,2008,6.9,110,13.82,The Duchess
1836,2009,6.9,119,4.44,Bright Star
1837,2006,6.9,113,1.0,Goya's Ghosts
1838,2006,6.9,122,15.23,Alpha Dog
1839,2004,6.9,95,0.7,The Assassination of Richard Nixon
1840,2003,6.9,100,11.63,Girl with a Pearl Earring
1841,2003,6.9,109,52.28,Radio
1842,2001,6.9,108,1.54,Bully
1843,1997,6.9,109,41.2,Private Parts
1844,1995,6.9,139,31.6,Rob Roy
1845,1987,6.9,108,54.22,La Bamba
1849,2018,6.8,114,1.44,"Don't Worry, He Won't Get Far on Foot"
1850,2017,6.8,111,22.25,Victoria & Abdul
1852,2017,6.8,132,25.11,All the Money in the World
1853,2016,6.8,111,27.37,Florence Foster Jenkins
1854,2019,6.8,112,4.54,Tolkien
1855,2014,6.8,150,3.96,Mr. Turner
1856,2015,6.8,127,12.19,The 33
1857,2014,6.8,134,47.03,Jersey Boys
1858,2011,6.8,99,9.2,Bernie
1859,2016,6.8,117,4.85,Bleed for This
1860,2012,6.8,106,1.94,The Iceman
1862,2010,6.8,108,9.53,Fair Game
1863,2012,6.8,98,6.01,Hitchcock
1864,2015,6.8,122,0.64,The Stanford Prison Experiment
1865,2007,6.8,114,16.29,Elizabeth: The Golden Age
1867,2007,6.8,135,4.02,I'm Not There
1868,1998,6.8,115,135.03,Patch Adams
1869,1997,6.8,127,35.42,Selena
1870,1991,6.8,136,49.11,Bugsy
1871,2017,6.7,121,12.64,Battle of the Sexes
1872,2015,6.7,104,10.02,The Lady in the Van
1873,2018,6.7,93,11.28,The Old Man & the Gun
1875,2016,6.7,100,13.96,Jackie
1876,2011,6.7,100,1.8,Hysteria
1877,2009,6.7,120,7.44,Taking Woodstock
1878,2009,6.7,105,6.11,Coco avant Chanel
1879,2009,6.7,117,31.67,The Soloist
1880,2008,6.7,115,26.81,The Other Boleyn Girl
1881,2005,6.7,135,12.71,The New World
1882,2001,6.7,157,58.2,Ali
1884,2018,6.6,122,17.61,Operation Finale
1885,2016,6.6,112,23.05,Whiskey Tango Foxtrot
1886,2015,6.6,124,56.45,Joy
1888,2016,6.6,141,8.58,The Lost City of Z
1890,2009,6.6,102,2.04,I Love You Phillip Morris
1891,2007,6.6,108,9.18,A Mighty Heart
1892,2009,6.6,122,36.84,Notorious
1896,2011,6.5,137,37.31,J. Edgar
1897,2009,6.5,108,33.31,The Informant!
1898,2010,6.5,106,3.57,The Runaways
1899,2006,6.5,126,14.42,Hollywoodland
1900,2006,6.5,123,15.96,Marie Antoinette
1901,2001,6.5,132,30.17,Riding in Cars with Boys
1902,1995,6.5,99,84.92,Dangerous Minds
1903,1993,6.5,109,20.1,Fire in the Sky
1904,2011,6.4,99,5.7,A Dangerous Method
1905,2013,6.4,104,1.03,Kill Your Darlings
1906,2011,6.4,105,30.02,The Iron Lady
1907,2008,6.4,110,2.78,How to Lose Friends & Alienate People
1908,1999,6.4,158,14.28,Joan of Arc
1909,1992,6.4,154,7.19,1492: Conquest of Paradise
1910,2018,6.3,124,16.47,Mary Queen of Scots
1911,2015,6.3,99,4.72,True Story
1912,2015,6.3,104,29.47,A Walk in the Woods
1913,2008,6.3,129,25.53,W.
1914,1996,6.3,135,50.05,Evita
1915,2013,6.2,128,3.25,The Fifth Estate
1916,2013,6.2,93,0.36,Lovelace
1917,2004,6.2,114,4.84,The Libertine
1918,2013,6.0,128,16.13,Jobs
1920,2016,5.8,95,17.36,Masterminds
1921,2014,5.8,99,91.44,Heaven Is for Real
1922,2010,5.8,133,80.57,Eat Pray Love
1923,2013,5.6,90,5.84,The Bling Ring
1925,2005,5.4,117,30.98,Get Rich or Die Tryin'
1927,2018,5.3,94,36.25,The 15:17 to Paris
1929,2001,8.6,125,10.06,Sen to Chihiro no kamikakushi
1930,1994,8.5,88,422.78,The Lion King
1932,2016,8.4,106,5.02,Kimi no na wa.
1933,2017,8.4,105,209.73,Coco
1934,2008,8.4,98,223.81,WALL·E
1935,2009,8.3,96,293.0,Up
1936,2010,8.3,103,415.0,Toy Story 3
1937,1995,8.3,81,191.8,Toy Story
1938,2015,8.2,95,356.46,Inside Out
1939,2004,8.2,119,4.71,Hauru no ugoku shiro
1940,2003,8.2,100,380.84,Finding Nemo
1945,2007,8.1,111,206.45,Ratatouille
1946,2001,8.1,92,289.92,"Monsters, Inc."
1947,1988,8.1,86,1.11,Tonari no Totoro
1950,2016,8.0,108,341.27,Zootopia
1951,2013,8.0,137,1.51,Kaguya-hime no Monogatari
1952,2014,8.0,93,0.86,Song of the Sea
1953,1997,8.0,81,0.78,Pâfekuto burû
1954,1992,8.0,90,217.35,Aladdin
1955,1991,8.0,84,218.97,Beauty and the Beast
1957,1984,8.0,117,0.5,Kaze no tani no Naushika
1958,2009,7.9,87,21.0,Fantastic Mr. Fox
1959,2001,7.9,90,267.67,Shrek
1960,1999,7.9,92,245.85,Toy Story 2
1962,1993,7.9,76,75.08,The Nightmare Before Christmas
1963,2018,7.8,101,32.02,Isle of Dogs
1964,2003,7.8,90,0.13,Tôkyô goddofâzâzu
1965,2001,7.8,87,0.19,Sennen joyû
1967,2017,7.7,94,0.31,The Breadwinner
1968,2014,7.7,103,0.77,Omoide no Marnie
1969,2016,7.7,66,0.29,Ma vie de Courgette
1970,2019,7.7,100,434.04,Toy Story 4
1971,2012,7.7,101,189.42,Wreck-It Ralph
1972,2015,7.7,108,1.34,Le Petit Prince
1973,2006,7.7,90,0.88,Papurika
1975,2010,7.7,100,200.82,Tangled
1976,2009,7.7,100,75.29,Coraline
1977,2003,7.7,80,7.0,Les triplettes de Belleville
1978,2001,7.7,99,2.89,Waking Life
1979,1999,7.7,81,52.04,"South Park: Bigger, Longer & Uncut"
1981,1988,7.7,104,156.45,Who Framed Roger Rabbit
1982,1973,7.7,72,0.19,La planète sauvage
1983,1940,7.7,125,76.41,Fantasia
1985,2016,7.6,107,248.76,Moana
1986,2010,7.6,94,19.2,Karigurashi no Arietty
1987,2010,7.6,95,251.51,Despicable Me
1988,2008,7.6,101,15.09,Gake no ue no Ponyo
1989,2009,7.6,71,0.69,The Secret of Kells
1990,1998,7.6,88,120.62,Mulan
1991,1991,7.6,119,0.45,Kal Hee
1992,1989,7.6,83,111.54,The Little Mermaid
1994,1967,7.6,78,141.84,The Jungle Book
1995,1937,7.6,83,184.93,Snow White and the Seven Dwarfs
1997,2019,7.5,112,7.8,Tenki no ko
1998,2016,7.5,80,0.92,La tortue rouge
2000,2010,7.5,90,2.23,L'illusionniste
2001,2005,7.5,85,56.11,The Curse of the Were-Rabbit
2002,2002,7.5,81,176.39,Ice Age
2003,1982,7.5,82,10.14,The Secret of NIMH
2005,1973,7.5,83,32.06,Robin Hood
2006,1940,7.5,88,84.25,Pinocchio
2007,2020,7.4,102,61.56,Onward
2008,2021,7.4,110,162.79,Sing 2
2010,2013,7.4,102,400.74,Frozen
2011,2011,7.4,91,1.0,Kokuriko-zaka kara
2013,2004,7.4,100,1.04,Inosensu: Innocence
2014,2000,7.4,78,89.3,The Emperor's New Groove
2015,1988,7.4,69,48.09,The Land Before Time
2016,1968,7.4,90,0.99,Yellow Submarine
2017,1951,7.4,75,1.07,Alice in Wonderland
2018,2015,7.3,85,19.38,Shaun the Sheep Movie
2019,2016,7.3,97,486.3,Finding Dory
2020,2013,7.3,98,368.06,Despicable Me 2
2021,2007,7.3,87,183.14,The Simpsons Movie
2022,2004,7.3,93,436.47,Shrek 2
2023,2002,7.3,85,145.79,Lilo & Stitch
2024,2005,7.3,77,53.36,Corpse Bride
2025,1999,7.3,88,171.09,Tarzan
2026,1997,7.3,93,99.05,Hercules
2029,1982,7.3,92,6.46,The Last Unicorn
2030,1961,7.3,79,144.88,One Hundred and One Dalmatians
2031,1955,7.3,76,93.6,Lady and the Tramp
2032,1953,7.3,77,87.4,Peter Pan
2033,1950,7.3,74,85.0,Cinderella
2034,1942,7.3,69,102.8,Bambi
2036,2021,7.2,102,96.09,Encanto
2037,2015,7.2,90,3.76,Anomalisa
2038,2014,7.2,95,50.15,The Book of Life
2039,2013,7.2,104,268.49,Monsters University
2040,2013,7.2,98,187.17,The Croods
2042,2006,7.2,117,244.08,Cars
2043,2002,7.2,95,38.18,Treasure Planet
2044,1998,7.2,95,162.8,A Bug's Life
2045,1986,7.2,74,38.6,The Great Mouse Detective
2046,1981,7.2,83,63.46,The Fox and the Hound
2047,1959,7.2,75,51.6,Sleeping Beauty
2048,1941,7.2,64,1.6,Dumbo
2050,2016,7.1,108,270.4,Sing
2051,2011,7.1,63,26.69,Winnie the Pooh
2052,2011,7.1,97,46.46,Arthur Christmas
2053,2012,7.1,93,237.28,Brave
2054,2009,7.1,97,104.4,The Princess and the Frog
2055,2007,7.1,107,127.81,Enchanted
2056,2004,7.1,87,85.42,The SpongeBob SquarePants Movie
2057,2002,7.1,83,73.28,Spirit: Stallion of the Cimarron
2058,1999,7.1,75,60.66,Fantasia 2000
2059,1998,7.1,99,101.22,The Prince of Egypt
2060,2000,7.1,84,106.83,Chicken Run
2061,1997,7.1,94,58.41,Anastasia
