,Year,Rating,Runtime(Mins),Total_Gross,Title
174,2001,7.7,122,76.63,Training Day
175,1998,7.7,81,7.27,Lola rennt
176,1992,7.7,112,75.51,The Last of the Mohicans
178,1982,7.7,113,78.91,Star Trek II: The Wrath of Khan
179,1982,7.7,93,47.21,First Blood
181,1971,7.7,104,15.63,The French Connection
182,1971,7.7,102,35.9,Dirty Harry
183,1967,7.7,150,45.3,The Dirty Dozen
185,1964,7.7,110,51.08,Goldfinger
186,1962,7.7,178,39.1,The Longest Day
187,1960,7.7,128,4.91,The Magnificent Seven
193,2016,7.6,118,2.13,Busanhaeng
194,2018,7.6,123,9.65,Hotel Mumbai
195,2017,7.6,136,389.81,Guardians of the Galaxy Vol. 2
196,2017,7.6,113,107.83,Baby Driver
197,2017,7.6,134,18.34,Only the Brave
198,2018,7.6,118,608.58,Incredibles 2
199,2015,7.6,121,46.89,Sicario
200,2015,7.6,133,109.77,Creed
201,2014,7.6,130,208.55,Dawn of the Planet of the Apes
203,2011,7.6,101,4.11,Serbuan maut
204,2012,7.6,109,41.0,End of Watch
205,2011,7.6,105,176.76,Rise of the Planet of the Apes
206,2010,7.6,117,48.07,Kick-Ass
208,2009,7.6,88,75.59,Zombieland
209,2009,7.6,128,209.03,Sherlock Holmes
210,2006,7.6,111,31.57,United 93
211,2006,7.6,104,24.63,Huo Yuan Jia
212,2008,7.6,92,215.43,Kung Fu Panda
213,2009,7.6,153,301.96,Harry Potter and the Half-Blood Prince
214,2006,7.6,117,210.61,300
215,2009,7.6,162,107.51,Watchmen
217,2000,7.6,103,0.15,Vampire Hunter D: Bloodlust
218,2001,7.6,131,51.4,Enemy at the Gates
219,2005,7.6,140,380.26,Star Wars: Episode III - Revenge of the Sith
220,1997,7.6,126,63.54,The Fifth Element
221,1996,7.6,111,92.0,Star Trek: First Contact
222,1995,7.6,128,100.01,Die Hard: With a Vengeance
223,1993,7.6,113,40.9,Falling Down
224,1987,7.6,102,53.42,RoboCop
225,1987,7.6,109,65.21,Lethal Weapon
226,1981,7.6,96,12.47,Mad Max 2
228,1979,7.6,112,43.0,Escape from Alcatraz
229,1974,7.6,104,2.49,The Taking of Pelham One Two Three
230,1973,7.6,102,25.0,Enter the Dragon
233,2018,7.5,100,11.98,Upgrade
235,2014,7.5,134,85.82,Fury
236,2013,7.5,146,424.67,The Hunger Games: Catching Fire
237,2011,7.5,103,1.53,Delhi Belly
239,2011,7.5,100,1.2,Hodejegerne
240,2010,7.5,141,0.8,Jûsan-nin no shikaku
241,2010,7.5,108,0.21,Yip Man 2
242,2008,7.5,113,0.55,L'instinct de mort
243,2016,7.5,115,232.64,Doctor Strange
245,2013,7.5,121,125.1,Lone Survivor
246,2011,7.5,93,54.71,Source Code
247,2007,7.5,191,25.04,Grindhouse
249,2008,7.5,213,3.44,Jodhaa Akbar
250,2010,7.5,112,31.49,Scott Pilgrim vs. the World
251,2005,7.5,164,47.4,Munich
252,2004,7.5,119,11.05,Shi mian mai fu
253,2007,7.5,138,292.0,Harry Potter and the Order of the Phoenix
